ref_date_raw,start_year,geo,sex,age_group,indicator,characteristic,value,metric_type,quality_flag,scalar_applied,vector,ref_date,dguid,uom,scalar_factor
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent","High 95% confidence interval, number of persons",13389600.0,number,,False,v114653438,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent",Percent,88.7,percent,,False,v114653439,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent","Low 95% confidence interval, percent",88.1,percent,,False,v114653440,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent","High 95% confidence interval, percent",89.3,percent,,False,v114653441,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, work",Number of persons,2882800.0,number,,False,v114653443,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, work","Low 95% confidence interval, number of persons",2762300.0,number,,False,v114653444,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, work","High 95% confidence interval, number of persons",2984600.0,number,,False,v114653445,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, work",Percent,19.4,percent,,False,v114653446,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, work","Low 95% confidence interval, percent",18.6,percent,,False,v114653447,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, work","High 95% confidence interval, percent",20.1,percent,,False,v114653448,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns",Number of persons,2563700.0,number,,False,v114653450,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns","Low 95% confidence interval, number of persons",2446300.0,number,,False,v114653451,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns","High 95% confidence interval, number of persons",2670000.0,number,,False,v114653452,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns",Percent,17.2,percent,,False,v114653453,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns","Low 95% confidence interval, percent",16.5,percent,,False,v114653454,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns","High 95% confidence interval, percent",18.0,percent,,False,v114653455,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, family",Number of persons,3048300.0,number,,False,v114653457,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, family","Low 95% confidence interval, number of persons",2942900.0,number,,False,v114653458,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, family","High 95% confidence interval, number of persons",3165900.0,number,,False,v114653459,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, family",Percent,20.5,percent,,False,v114653460,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, family","Low 95% confidence interval, percent",19.7,percent,,False,v114653461,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, family","High 95% confidence interval, percent",21.2,percent,,False,v114653462,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",Number of persons,1284600.0,number,,False,v114653464,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, number of persons",1206600.0,number,,False,v114653465,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, number of persons",1354100.0,number,,False,v114653466,2016,,Number,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",Percent,25.8,percent,,False,v114653467,2016,,Percent,units
2016,2016,Canada (excluding territories),Females,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, percent",24.4,percent,,False,v114653468,2016,,Percent,units
